sample	selected_count	subset_diversity	domain_pass_rate	mean_constraint_score	mean_conservation_score	mean_novelty_score	mean_uniqueness_score
75	20	0.8194452425	0.2	0.08419890359	0.3630434783	0.7498596369	0.8013358629
76	20	0.7973658808	0.1	0.04830534193	0.3195652174	0.8068420643	0.7859807575
77	20	0.8377343264	0.2	0.1227272727	0.4043478261	0.7391640614	0.8054186035
78	20	0.8000603124	0.2	0.153694897	0.3695652174	0.7120419074	0.7938961756
79	20	0.7977904051	0.15	0.04940191388	0.3695652174	0.7652140269	0.7833201082
80	20	0.8166913565	0.05	0.0355130788	0.2695652174	0.8182562173	0.7947396307
81	20	0.7127512179	0.1	0.05967575822	0.3239130435	0.812882027	0.7479094635
82	20	0.859238135	0.2	0.08862958371	0.3869565217	0.7436534517	0.8204728982
83	20	0.8155651299	0.05	0.04073329717	0.3347826087	0.830020475	0.7980606565
84	20	0.7406501229	0.2	0.09593301435	0.4152173913	0.7302401888	0.7595705615
85	20	0.7789497098	0.15	0.07703349282	0.3456521739	0.7662774224	0.7765220743
86	20	0.8504264615	0.2	0.07033492823	0.397826087	0.7684660369	0.8175237292
87	20	0.7505270024	0.1	0.08265550239	0.3413043478	0.7965291583	0.7665275897
88	20	0.8933633192	0.25	0.1283492823	0.4195652174	0.7253249535	0.844059416
89	20	0.736901142	0.1	0.07773795918	0.3369565217	0.7606638076	0.7588222998
90	20	0.7207439039	0.2	0.1163875598	0.4086956522	0.728551955	0.7513920951
91	20	0.8337912848	0.05	0.05579183051	0.2869565217	0.8359437043	0.8057660932
92	20	0.8019736894	0.1	0.06684213755	0.2956521739	0.8399493727	0.7901773815
93	20	0.8425428121	0.05	0.02015913449	0.3043478261	0.8145739891	0.8107877061
94	20	0.8247816724	0.3	0.2402432055	0.45	0.6897815264	0.8086293277
95	20	0.7575327841	0.3	0.2076422654	0.4760869565	0.660593507	0.7741429711
96	20	0.7980063099	0.1	0.07093301435	0.35	0.7855139215	0.7883140254
